================================================================================
RAPPORT D'EXTRACTION - BiographieNationale Volume 1
================================================================================

Biographies extraites : 458
Renvois (Voir...) ignorés : 133
Faux positifs ignorés : 25
Total entrées détectées : 616

--- ALERTES (2 entrées courtes < 150 car.) ---
  ALOST (Seigneurs D').txt | 34 mots | 233 car. | OK
  RAOUL.txt | 99 mots | 568 car. | OK
  BAUDOUIN II.txt | 130 mots | 735 car. | OK
  BAUDOUIN III, dit le Louche Pt le Barbu.txt | 159 mots | 913 car. | OK
  YVAIN ou IVAN LE CHAUVE.txt | 334 mots | 1983 car. | OK
  ALPAÏDE, mère de Charles Martel.txt | 83 mots | 513 car. | OK
  ALSLOOT ou VAN ALSLOOT.txt | 221 mots | 1289 car. | OK
  ALSTERS (Georges-Jacques).txt | 127 mots | 775 car. | OK
  ALUF, ALULFUS, alias ALALFUS.txt | 237 mots | 1498 car. | OK
  ALVISE ou ALVISUS.txt | 314 mots | 1817 car. | OK
  AMADEI (Charles baron D').txt | 341 mots | 2172 car. | OK
  AMAND (Saint).txt | 658 mots | 3976 car. | OK
  AMAND (Dominique-Joseph).txt | 150 mots | 946 car. | OK
  AMAND (Maximilien).txt | 214 mots | 1306 car. | OK
  AMBIORIX.txt | 4789 mots | 28812 car. | OK
  AMBROISE DE GAND, AMBROSIUS GANDENSIS ou A GANDAVO.txt | 263 mots | 1624 car. | OK
  AMELBERGE (Sainte).txt | 90 mots | 546 car. | OK
  AMELRY (François).txt | 387 mots | 2447 car. | OK
  AMEYDEN (Chrétien VAN).txt | 262 mots | 1577 car. | OK
  AMINGÈRE.txt | 42 mots | 230 car. | OK
  AMMONIUS (Gaspar).txt | 429 mots | 2672 car. | OK
  AMOLGÈRE.txt | 68 mots | 392 car. | OK
  AMOUNET DE HAILLY (Charles-François).txt | 232 mots | 1511 car. | OK
  AMOUR (Saint).txt | 778 mots | 4817 car. | OK
  AMOUR (Charles D').txt | 239 mots | 1562 car. | OK
  AMOUR (Pierre D').txt | 358 mots | 2091 car. | OK
  ANCHILCUS (N.).txt | 117 mots | 717 car. | OK
  ANCION (Pascal).txt | 423 mots | 2560 car. | OK
  ANCION (J.-Pascal).txt | 98 mots | 588 car. | OK
  ANCOT (Jean).txt | 238 mots | 1486 car. | OK
  ANCOT (Jean) (1).txt | 271 mots | 1512 car. | OK
  ANCOT (Louis).txt | 227 mots | 1328 car. | OK
  ANDON.txt | 108 mots | 663 car. | OK
  ANDRÉ D'AUTRICHE.txt | 2740 mots | 16441 car. | OK
  ANDRÉ (Bienheureux).txt | 143 mots | 878 car. | OK
  ANDRÉ (Valère).txt | 2983 mots | 18896 car. | OK
  ANDREAS (Laurent).txt | 99 mots | 613 car. | OK
  ANDRIES (Éméric) ou ANDREÆ.txt | 174 mots | 1080 car. | OK
  ANDRIES (François-Eugène).txt | 291 mots | 1857 car. | OK
  ANDRIES (Josse).txt | 239 mots | 1506 car. | OK
  ANDRIESSENS (Henri), dit Manken Heyn.txt | 227 mots | 1341 car. | OK
  ANESEUS (Jean) ou ANSUS.txt | 613 mots | 3688 car. | OK
  ANGELET (Charles-François).txt | 332 mots | 2008 car. | OK
  ANGENOT (Thomas-Joseph).txt | 684 mots | 4414 car. | OK
  ANICIUS.txt | 119 mots | 718 car. | OK
